marca,modelo,ano_modelo,ano_fabr,quilometragem,cor,estado,cambio,motor,tipo_combustivel,preco
CHEVROLET,CRUZE,2019.0,2019,36250.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,102800.0
CHEVROLET,TRACKER,2021.0,2020,46322.0,Preto,SP,AUTOMÁTICO,1.0,FLEX,98300.0
CHEVROLET,ONIX,2019.0,2018,50588.0,Prata,RJ,AUTOMÁTICO,1.4,FLEX,68900.0
CHEVROLET,ONIX,2020.0,2019,71087.0,Preto,SP,MANUAL,1.0,FLEX,75900.0
CHEVROLET,CAMARO,2014.0,2014,50000.0,Preto,SP,AUTOMÁTICO,6.2,GASOLINA,278900.0
CHEVROLET,CRUZE,2016.0,2015,89130.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,69800.0
CHEVROLET,ONIX,2023.0,2023,0.0,Preto,SP,MANUAL,1.0,FLEX,82900.0
CHEVROLET,SPIN,2015.0,2014,90000.0,Branco,SP,AUTOMÁTICO,1.8,FLEX,56900.0
CHEVROLET,CELTA,2013.0,2013,98000.0,Cinza,SP,MANUAL,1.0,FLEX,25900.0
CHEVROLET,TRAILBLAZER,2020.0,2019,48000.0,Branco,SP,AUTOMÁTICO,2.8,DIESEL,234900.0
CHEVROLET,EQUINOX,2023.0,2022,0.0,Vermelho,SP,AUTOMÁTICO,1.5,GASOLINA,211890.0
CHEVROLET,TRACKER,2021.0,2020,58904.0,Prata,SP,AUTOMÁTICO,1.2,FLEX,125000.0
CHEVROLET,ONIX,2015.0,2014,101432.0,Prata,SP,MANUAL,1.0,FLEX,42900.0
CHEVROLET,ONIX,2023.0,2022,2486.0,Preto,SC,AUTOMÁTICO,1.0,FLEX,102900.0
CHEVROLET,TRAILBLAZER,2017.0,2017,64000.0,Branco,SP,AUTOMÁTICO,3.6,GASOLINA,155790.0
CHEVROLET,S10,2020.0,2020,52000.0,Branco,SC,AUTOMÁTICO,2.5,FLEX,179900.0
CHEVROLET,ONIX,2021.0,2020,105000.0,Branco,SP,AUTOMÁTICO,1.0,FLEX,77890.0
CHEVROLET,ONIX,2021.0,2020,35030.0,Preto,SP,MANUAL,1.0,FLEX,71900.0
CHEVROLET,TRACKER,2022.0,2022,10928.0,Branco,PR,AUTOMÁTICO,1.0,FLEX,112500.0
CHEVROLET,CAMARO,2014.0,2014,35000.0,Amarelo,SP,AUTOMÁTICO,6.2,GASOLINA,269900.0
CHEVROLET,ONIX,2019.0,2019,37982.0,Preto,SC,AUTOMÁTICO,1.4,FLEX,69900.0
CHEVROLET,CRUZE,2022.0,2021,19500.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,114900.0
CHEVROLET,CRUZE,2017.0,2016,103000.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,86790.0
CHEVROLET,CAMARO,2014.0,2014,48000.0,Amarelo,SC,AUTOMÁTICO,6.2,GASOLINA,239900.0
CHEVROLET,CRUZE,2022.0,2022,24885.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,115130.0
CHEVROLET,ONIX,2018.0,2017,55210.0,Preto,SP,MANUAL,1.0,FLEX,54990.0
CHEVROLET,ONIX,2015.0,2015,150000.0,Branco,SP,MANUAL,1.0,FLEX,43790.0
CHEVROLET,TRACKER,2024.0,2023,0.0,Cinza,SP,AUTOMÁTICO,1.0,FLEX,139340.0
CHEVROLET,S10,2013.0,2012,155600.0,Prata,SP,MANUAL,2.4,FLEX,89990.0
CHEVROLET,CRUZE,2018.0,2017,76000.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,95000.0
CHEVROLET,SPIN,2020.0,2019,100.0,Prata,RJ,MANUAL,1.8,FLEX,81999.0
CHEVROLET,S10,2013.0,2013,80000.0,Branco,SP,MANUAL,2.4,FLEX,89990.0
CHEVROLET,ONIX,2018.0,2017,58629.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,67999.0
CHEVROLET,CRUZE,2020.0,2020,30348.0,Preto,SP,AUTOMÁTICO,1.4,FLEX,123900.0
CHEVROLET,ONIX,2016.0,2016,90000.0,Branco,PR,MANUAL,1.0,FLEX,53900.0
CHEVROLET,CRUZE,2022.0,2022,12000.0,Vermelho,SC,AUTOMÁTICO,1.4,FLEX,149900.0
CHEVROLET,S10,2023.0,2022,0.0,Branco,MG,AUTOMÁTICO,2.8,DIESEL,239900.0
CHEVROLET,S10,2021.0,2020,41000.0,Branco,SC,AUTOMÁTICO,2.8,DIESEL,239990.0
CHEVROLET,PRISMA,2019.0,2019,38365.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,69800.0
CHEVROLET,CRUZE,2014.0,2014,131463.0,Prata,MG,MANUAL,1.8,FLEX,57900.0
CHEVROLET,ONIX,2018.0,2017,60534.0,Preto,PE,MANUAL,1.0,FLEX,51900.0
CHEVROLET,CLASSIC,2009.0,2009,164000.0,Cinza,SP,MANUAL,1.0,FLEX,25000.0
CHEVROLET,S10,2022.0,2021,20373.0,Prata,MG,AUTOMÁTICO,2.8,DIESEL,235900.0
CHEVROLET,ONIX,2019.0,2019,16750.0,Preto,MG,AUTOMÁTICO,1.4,FLEX,72900.0
CHEVROLET,TRACKER,2021.0,2020,50100.0,Preto,SP,AUTOMÁTICO,1.2,FLEX,128590.0
CHEVROLET,ONIX,2019.0,2019,52000.0,Branco,SC,MANUAL,1.4,FLEX,71700.0
CHEVROLET,TRACKER,2019.0,2018,35000.0,Prata,SP,AUTOMÁTICO,1.4,FLEX,99900.0
CHEVROLET,COBALT,2020.0,2019,70000.0,Prata,SP,AUTOMÁTICO,1.8,FLEX,70500.0
CHEVROLET,S10,2016.0,2015,136975.0,Preto,SP,AUTOMÁTICO,2.8,DIESEL,134900.0
CHEVROLET,ONIX,2022.0,2022,14000.0,Vermelho,MG,MANUAL,1.0,FLEX,84900.0
CHEVROLET,ONIX,2019.0,2018,58132.0,Branco,MG,AUTOMÁTICO,1.4,FLEX,74800.0
CHEVROLET,TRAILBLAZER,2020.0,2019,63000.0,Cinza,SP,AUTOMÁTICO,2.8,DIESEL,224900.0
CHEVROLET,S10,2014.0,2013,132000.0,Branco,SP,AUTOMÁTICO,2.8,DIESEL,116900.0
